,Name,Rating,Review Count,Price,Street Address,Zip Code,Latitude,Longitude,Url,Category
0,Sunny and Annie's,4.5,488,$,94 Ave B,10003,40.724653,-73.981702,https://www.yelp.com/biz/sunny-and-annies-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
1,Lioni Italian Heroes,4.5,373,$$,7803 15th Ave,11228,40.61572,-74.00482,https://www.yelp.com/biz/lioni-italian-heroes-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
2,David's Brisket House and Deli,4.5,447,$$,533 Nostrand Ave,11216,40.679434,-73.949515,https://www.yelp.com/biz/davids-brisket-house-and-deli-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
3,Katz's Delicatessen,4.0,12382,$$,205 E Houston St,10002,40.722237,-73.98752590000001,https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
4,TK's Deli,5.0,22,$,954 Broadway,11206,40.6967,-73.93500999999999,https://www.yelp.com/biz/tks-deli-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
5,Mike's Deli Arthur Avenue,4.0,231,$$,2344 Arthur Ave,10458,40.85416,-73.88817,https://www.yelp.com/biz/mikes-deli-arthur-avenue-bronx?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
6,Steve's Deli,5.0,20,No data found,6833 79th St,11379,40.710193,-73.873092,https://www.yelp.com/biz/steves-deli-middle-village?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
7,Ess-a-Bagel,4.0,3628,$,831 3rd Ave,10022,40.756300559254996,-73.9703701025162,https://www.yelp.com/biz/ess-a-bagel-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
8,Elim Deli Cafe,4.5,86,$,851 Lexington Ave,10065,40.76555,-73.96545,https://www.yelp.com/biz/elim-deli-cafe-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
9,Hello Deli,4.0,142,$,213 W 53rd St,10019,40.763639000000005,-73.983171,https://www.yelp.com/biz/hello-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
10,San Jose Tulcingo,4.5,34,$,109 E 153rd St,10451,40.824167479983295,-73.9279800807582,https://www.yelp.com/biz/san-jose-tulcingo-bronx?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
11,2nd Ave Deli,4.0,1231,$$,162 E 33rd St,10016,40.745206,-73.9791699,https://www.yelp.com/biz/2nd-ave-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
12,Frankel's Delicatessen,4.0,250,$$,631 Manhattan Ave,11222,40.723826,-73.9509979,https://www.yelp.com/biz/frankels-delicatessen-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
13,Park West Cafe,4.5,69,$,477 Central Park W,10025,40.79937,-73.95946690000001,https://www.yelp.com/biz/park-west-cafe-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
14,Liebman's Kosher Delicatessen,4.0,281,$$,552 W 235th St,10463,40.88548,-73.90951,https://www.yelp.com/biz/liebmans-kosher-delicatessen-bronx?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
15,Sarge's Delicatessen & Diner,4.0,1172,$$,548 3rd Ave,10016,40.7473279523583,-73.9772017867971,https://www.yelp.com/biz/sarges-delicatessen-and-diner-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
16,The Original John's Deli,4.0,330,$$,2033 Stillwell Ave,11223,40.597119899999996,-73.98498199999999,https://www.yelp.com/biz/the-original-johns-deli-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
17,Giannas Family Deli,5.0,14,No data found,867 Midland Ave,10704,40.9358,-73.86048000000001,https://www.yelp.com/biz/giannas-family-deli-yonkers?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
18,The Fillmore Delicatessen,4.0,96,$$,1668 3rd Ave,10128,40.78367394330321,-73.95084410905841,https://www.yelp.com/biz/the-fillmore-delicatessen-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
19,Broadway Finest Deli,4.5,42,$,3620 Broadway,10031,40.82906,-73.9482,https://www.yelp.com/biz/broadway-finest-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
20,The Deli Deli,5.0,12,No data found,1219 1st Ave,10065,40.763987376998294,-73.9591398238617,https://www.yelp.com/biz/the-deli-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
21,Skyline Gourmet Deli,4.0,109,$,700 10th Ave,10019,40.76385,-73.99203,https://www.yelp.com/biz/skyline-gourmet-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
22,Mill Basin Kosher Deli,3.5,221,$$,5823 Ave T,11234,40.61567,-73.91812,https://www.yelp.com/biz/mill-basin-kosher-deli-brooklyn-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
23,Pastrami Queen,3.5,525,$$,1125 Lexington Ave,10075,40.774370000000005,-73.95911,https://www.yelp.com/biz/pastrami-queen-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
24,Awesome Deli,4.5,14,$,60 Broadway,11211,40.7102999,-73.96629,https://www.yelp.com/biz/awesome-deli-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
25,Healthy Greens Gourmet Deli,5.0,7,No data found,48 3rd Ave,10003,40.7309286639192,-73.98917208318991,https://www.yelp.com/biz/healthy-greens-gourmet-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
26,Franklin Corner Cafe,4.0,35,$,210 Franklin St,11222,40.732851000000004,-73.95783,https://www.yelp.com/biz/franklin-corner-cafe-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
27,Heavenly Market,4.0,31,No data found,1692 York Ave,10128,40.777709,-73.9456163,https://www.yelp.com/biz/heavenly-market-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
28,Andy's Deli,3.5,77,$,418 Columbus Ave,10024,40.78284,-73.97505,https://www.yelp.com/biz/andys-deli-new-york-6?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
29,Gold Street Market,4.0,44,$,257 Gold St,11201,40.6966857,-73.9831559,https://www.yelp.com/biz/gold-street-market-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
30,PJ Bernstein,3.5,170,$$,1215 3rd Ave,10021,40.7685133255622,-73.96122892453,https://www.yelp.com/biz/pj-bernstein-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
31,Stage Door Deli,3.5,136,$$,26 Vesey St,10007,40.712214,-74.00971700000001,https://www.yelp.com/biz/stage-door-deli-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
32,Rockaway Gourmet Deli,5.0,8,No data found,9627 Farragut Rd,11236,40.64665,-73.9042,https://www.yelp.com/biz/rockaway-gourmet-deli-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
33,Star Lite Deli,3.5,50,$,212 W 44th St,10036,40.75752,-73.98668,https://www.yelp.com/biz/star-lite-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
34,World Famous Deli,4.5,13,No data found,475 Bergen St,11217,40.680986,-73.974714,https://www.yelp.com/biz/world-famous-deli-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
35,Othello's Deli,3.5,59,$,2619 24th Ave,11102,40.774172,-73.9176905,https://www.yelp.com/biz/othellos-deli-astoria-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
36,Eleganza Deli Gourmet,4.5,10,No data found,1 Convent Ave,10027,40.812742311166794,-73.95296181397079,https://www.yelp.com/biz/eleganza-deli-gourmet-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
37,Uris Deli,5.0,5,$,411 W 116th St,10027,40.808812064428395,-73.9611139945442,https://www.yelp.com/biz/uris-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
38,McCarren Natural,4.0,17,$,57 Nassau Ave,11222,40.723548,-73.95219399999999,https://www.yelp.com/biz/mccarren-natural-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
39,Strokos Gourmet Deli,3.0,116,$,1090 Amsterdam Ave,10025,40.805354799999996,-73.9621317,https://www.yelp.com/biz/strokos-gourmet-deli-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
40,A Taste of Katz's,3.0,125,$$,445 Albee Square W,11201,40.691289000000005,-73.98282900000001,https://www.yelp.com/biz/a-taste-of-katzs-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,Deli
